Title,Subtitle,Description,ribbon_text,price,discount,weight,sku,image_link
Mármol Carrara Premium,Mármol,"Placa premium para cubiertas, muros decorativos y acabados interiores de alto nivel.",Mármol,2990.00,0,1,MMX-CAR-001,https://images.unsplash.com/photo-1618220179428-22790b461013?auto=format&fit=crop&q=80&w=900
Mármol Travertino Beige,Mármol,"Material elegante para pisos, muros y detalles arquitectónicos.",Mármol,2690.00,0,1,MMX-TRA-002,https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?auto=format&fit=crop&q=80&w=900
Cubierta de Cocina Premium,Cubiertas,Cubierta fabricada a medida para cocinas residenciales y proyectos premium.,Cubiertas,8990.00,0,1,MMX-CUB-003,https://images.unsplash.com/photo-1556912173-3bb406ef7e77?auto=format&fit=crop&q=80&w=900
Piso de Mármol Pulido,Pisos,Acabado resistente y elegante para interiores residenciales o comerciales.,Pisos,1490.00,0,1,MMX-PIS-004,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&q=80&w=900
Granito Negro San Gabriel,Granito,"Granito oscuro ideal para cubiertas, barras y superficies de alto uso.",Granito,1990.00,0,1,MMX-GRA-005,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&q=80&w=900
Granito Gris Oxford,Granito,Superficie resistente con estética moderna para proyectos contemporáneos.,Granito,1790.00,0,1,MMX-GRA-006,https://images.unsplash.com/photo-1600566753151-384129cf4e3e?auto=format&fit=crop&q=80&w=900
Lavabo de Mármol Artesanal,Baños,Pieza artesanal para baños premium y proyectos de diseño interior.,Baños,4990.00,0,1,MMX-BAN-007,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?auto=format&fit=crop&q=80&w=900
Escalón de Mármol a Medida,Escaleras,"Escalón personalizado para residencias, edificios y espacios comerciales.",Escaleras,1290.00,0,1,MMX-ESC-008,https://images.unsplash.com/photo-1518005020951-eccb494ad742?auto=format&fit=crop&q=80&w=900
Piedra Natural para Fachada,Fachadas,Recubrimiento exterior para fachadas modernas y proyectos arquitectónicos.,Fachadas,1390.00,0,1,MMX-FAC-009,https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&q=80&w=900
Cuarzo Blanco Premium,Cuarzo,"Material elegante y resistente para cocinas, baños y superficies premium.",Cuarzo,2490.00,0,1,MMX-CUA-010,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?auto=format&fit=crop&q=80&w=900
Ónix Iluminado Premium,Ónix,"Acabado decorativo exclusivo para muros, barras y espacios de alto impacto.",Ónix,4990.00,0,1,MMX-ONI-011,https://images.unsplash.com/photo-1600585154526-990dced4db0d?auto=format&fit=crop&q=80&w=900
Recubrimiento Decorativo Premium,Recubrimientos,"Solución decorativa para interiores, muros principales y proyectos comerciales.",Recubrimientos,1790.00,0,1,MMX-REC-012,https://images.unsplash.com/photo-1600573472592-401b489a3cdc?auto=format&fit=crop&q=80&w=900
